City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Pinega,RU,2021-05-23 03:07:49,64.7001,43.3936,45.82,81,98,9.64
67,Mattawa,US,2021-05-23 03:07:50,46.7379,-119.9028,62.26,46,8,3.0
68,Geraldton,AU,2021-05-23 03:04:19,-28.7667,114.6,68.41,63,75,15.73
69,Aykhal,RU,2021-05-23 03:07:50,66.0,111.5,37.08,91,34,7.67
70,Beloha,MG,2021-05-23 03:07:23,-25.1667,45.05,63.64,91,100,5.41
71,Kerrobert,CA,2021-05-23 03:07:51,51.9168,-109.1348,46.27,64,46,9.42
72,Albany,US,2021-05-23 03:05:40,42.6001,-73.9662,73.35,54,42,9.22
73,Pamekasan,ID,2021-05-23 03:07:51,-7.1568,113.4746,84.54,68,98,3.8
74,New Norfolk,AU,2021-05-23 03:07:51,-42.7826,147.0587,62.89,59,13,2.42
75,Upernavik,GL,2021-05-23 03:07:52,72.7868,-56.1549,23.68,94,68,8.12
76,San Vicente,AR,2021-05-23 03:07:52,-26.6167,-54.1333,49.3,82,67,3.87
77,Maragogi,BR,2021-05-23 03:07:05,-9.0122,-35.2225,77.31,67,30,6.6
78,Muros,ES,2021-05-23 03:07:53,42.7762,-9.0603,52.23,84,10,3.91
79,Saint George,US,2021-05-23 03:07:53,37.1041,-113.5841,64.87,17,1,5.01
80,Bluff,NZ,2021-05-23 03:07:53,-46.6,168.3333,49.8,74,0,13.33
81,Port-Gentil,GA,2021-05-23 03:07:54,-0.7193,8.7815,78.64,85,100,6.26
82,Kingman,US,2021-05-23 03:07:54,35.1894,-114.053,67.48,7,1,1.01
83,Maceio,BR,2021-05-23 03:05:40,-9.6658,-35.7353,71.04,76,0,7.09
84,Provideniya,RU,2021-05-23 03:07:55,64.3833,-173.3,38.44,72,87,5.5
85,Nova Aurora,BR,2021-05-23 03:07:55,-22.8667,-52.5667,65.32,97,91,4.99
86,Wajid,SO,2021-05-23 03:07:56,3.8093,43.2471,70.75,85,29,15.99
87,Arraial Do Cabo,BR,2021-05-23 03:07:56,-22.9661,-42.0278,73.71,77,97,1.88
88,Kpandae,GH,2021-05-23 03:07:56,8.4689,-0.0113,76.64,87,100,7.56
89,Tilichiki,RU,2021-05-23 03:07:57,60.4667,166.1,37.13,76,100,11.81
90,Puerto Asis,CO,2021-05-23 03:07:57,0.5133,-76.5007,73.53,98,97,2.37
91,Kashmor,PK,2021-05-23 03:07:57,28.4333,69.5833,86.95,36,0,11.59
92,Duyun,CN,2021-05-23 03:05:14,26.2667,107.5167,67.6,97,100,3.29
93,Butaritari,KI,2021-05-23 03:07:58,3.0707,172.7902,83.41,81,100,18.57
94,Dikson,RU,2021-05-23 03:07:58,73.5069,80.5464,33.93,98,100,21.88
95,Hasaki,JP,2021-05-23 03:07:59,35.7333,140.8333,76.17,68,27,10.09
96,Tautira,PF,2021-05-23 03:07:59,-17.7333,-149.15,84.0,78,70,14.27
97,Yulara,AU,2021-05-23 03:07:59,-25.2406,130.9889,76.84,25,40,5.75
98,Tena,EC,2021-05-23 03:08:00,-0.9833,-77.8167,70.57,99,93,2.71
99,Margate,GB,2021-05-23 03:08:00,51.3813,1.3862,46.9,85,56,4.0
100,San Lawrenz,MT,2021-05-23 03:08:00,36.0553,14.204,63.81,90,0,7.61
101,Hobyo,SO,2021-05-23 03:08:01,5.3505,48.5268,78.22,82,100,19.8
102,Houma,US,2021-05-23 03:08:01,29.5958,-90.7195,73.99,84,1,6.91
103,Ystad,SE,2021-05-23 03:08:01,55.4297,13.8204,50.14,90,100,20.6
104,Codrington,AU,2021-05-23 03:08:02,-38.2667,141.9667,66.49,35,5,9.84
105,Castro,BR,2021-05-23 03:08:02,-24.7911,-50.0119,61.02,96,100,9.84
106,Los Llanos De Aridane,ES,2021-05-23 03:08:02,28.6585,-17.9182,63.12,80,90,24.2
107,Hithadhoo,MV,2021-05-23 03:08:03,-0.6,73.0833,84.45,68,92,11.52
108,Puerto Ayora,EC,2021-05-23 03:08:03,-0.7393,-90.3518,74.55,87,25,3.0
109,Kasiri,SL,2021-05-23 03:08:04,8.9412,-13.1148,78.42,85,99,1.66
110,Faya,SA,2021-05-23 03:08:04,18.3851,42.4509,63.12,56,0,2.24
111,Impfondo,CG,2021-05-23 03:08:04,1.6381,18.0667,69.75,98,95,1.3
112,Karnobat,BG,2021-05-23 03:08:05,42.65,26.9833,53.44,90,93,3.22
113,Arrecife,ES,2021-05-23 03:08:05,28.963,-13.5477,66.27,72,20,31.07
114,Nelson Bay,AU,2021-05-23 03:08:06,-32.7167,152.15,68.05,74,89,1.99
115,East London,ZA,2021-05-23 03:08:02,-33.0153,27.9116,54.79,64,1,8.55
116,Abu Samrah,SY,2021-05-23 03:08:06,35.3029,37.1841,63.21,70,32,18.99
117,Oussouye,SN,2021-05-23 03:08:07,12.485,-16.5469,73.02,76,80,0.81
118,Bengkulu,ID,2021-05-23 03:08:07,-3.8004,102.2655,83.37,64,41,2.24
119,Sokoto,NG,2021-05-23 03:08:08,13.0609,5.239,87.84,40,91,7.58
120,Kahului,US,2021-05-23 03:08:08,20.8947,-156.47,82.98,67,20,8.05
121,Karratha,AU,2021-05-23 03:08:08,-20.7377,116.8463,82.9,17,25,5.84
122,Ushuaia,AR,2021-05-23 03:08:09,-54.8,-68.3,37.2,91,20,5.37
123,Moorhead,US,2021-05-23 03:08:09,46.8739,-96.7676,53.62,78,90,3.0
124,Nuuk,GL,2021-05-23 03:08:10,64.1835,-51.7216,30.81,80,90,34.52
125,Talnakh,RU,2021-05-23 03:08:10,69.4865,88.3972,37.0,100,93,15.03
126,Miri,MY,2021-05-23 03:08:11,4.4148,114.0089,82.56,75,100,6.35
127,Chernyshevsk,RU,2021-05-23 03:08:11,52.5243,117.0174,39.0,89,100,15.95
128,College,US,2021-05-23 03:08:11,64.8569,-147.8028,52.12,54,75,1.01
129,Khatanga,RU,2021-05-23 03:08:12,71.9667,102.5,33.57,100,100,7.23
130,Surt,LY,2021-05-23 03:07:16,31.2089,16.5887,67.39,69,0,13.67
131,Gushikawa,JP,2021-05-23 03:08:12,26.3544,127.8686,85.62,85,75,12.21
132,Urumqi,CN,2021-05-23 03:08:13,43.801,87.6005,70.75,33,0,4.09
133,Acarau,BR,2021-05-23 03:08:13,-2.8856,-40.12,77.14,83,35,10.45
134,Georgetown,MY,2021-05-23 03:08:13,5.4112,100.3354,87.89,70,20,1.01
135,Deputatskiy,RU,2021-05-23 03:08:14,69.3,139.9,27.88,92,100,4.74
136,Chokurdakh,RU,2021-05-23 03:08:14,70.6333,147.9167,30.78,88,77,6.29
137,Saskylakh,RU,2021-05-23 03:08:14,71.9167,114.0833,34.03,99,52,9.6
138,Pithapuram,IN,2021-05-23 03:08:15,17.1167,82.2667,84.52,72,100,7.05
139,Homer,US,2021-05-23 03:08:15,59.6425,-151.5483,53.47,62,1,10.36
140,Tasiilaq,GL,2021-05-23 03:08:16,65.6145,-37.6368,30.36,92,100,2.39
141,Grand Gaube,MU,2021-05-23 03:08:16,-20.0064,57.6608,69.39,77,34,3.0
142,Olafsvik,IS,2021-05-23 03:08:16,64.8945,-23.7142,40.77,78,90,15.7
143,Srandakan,ID,2021-05-23 03:08:17,-7.9386,110.2506,84.16,69,100,4.29
