City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Gamba,GA,-2.65,10.0,76.78,91,95,4.94,overcast clouds
111,Pemangkat,ID,1.1667,108.9667,84.27,69,67,5.39,broken clouds
112,Nioro,GM,13.35,-15.75,78.67,58,73,6.85,broken clouds
113,Ancud,CL,-41.8697,-73.8203,57.42,94,100,22.26,light rain
114,Sao Filipe,CV,14.8961,-24.4956,73.89,75,0,9.75,clear sky
115,Bereda,ES,43.2686,-7.5406,49.57,100,37,2.13,scattered clouds
116,Brigantine,US,39.4101,-74.3646,73.27,90,20,13.49,few clouds
117,Viedma,AR,-40.8135,-62.9967,52.63,59,100,4.25,overcast clouds
118,Fortuna,US,40.5982,-124.1573,67.19,71,1,4.0,clear sky
119,Cervo,ES,43.6702,-7.4101,53.19,85,18,8.3,few clouds
120,Talnakh,RU,69.4865,88.3972,24.3,88,54,3.18,broken clouds
121,Wattegama,LK,6.7989,81.4808,79.72,73,100,8.41,overcast clouds
122,Jinji,CN,23.2281,110.8261,88.93,63,39,5.23,scattered clouds
123,San Patricio,US,28.017,-97.5169,80.83,86,2,11.23,clear sky
124,Saskylakh,RU,71.9167,114.0833,37.63,78,100,12.46,overcast clouds
125,Lata,PT,40.1629,-8.3327,59.72,88,75,1.43,broken clouds
126,Palmer,US,42.1584,-72.3287,68.92,85,90,4.0,overcast clouds
127,Muros,ES,42.7762,-9.0603,59.23,73,91,6.15,overcast clouds
128,Malakal,SS,9.5334,31.6605,82.45,59,69,5.26,broken clouds
129,Brae,GB,60.3964,-1.353,48.11,84,100,14.27,overcast clouds
130,Sikonge,TZ,-5.6333,32.7667,63.34,73,52,6.76,broken clouds
131,Kulhudhuffushi,MV,6.6221,73.07,82.36,78,98,24.52,overcast clouds
132,Krasnoselkup,RU,65.7,82.4667,33.6,55,98,15.08,overcast clouds
133,Bambanglipuro,ID,-7.95,110.2833,84.79,65,36,6.62,scattered clouds
134,Rognedino,RU,53.8015,33.5576,49.15,92,4,4.7,clear sky
135,Udachnyy,RU,66.4167,112.4,56.59,41,100,8.93,overcast clouds
136,Yelan,RU,50.949,43.7378,54.46,76,18,7.0,few clouds
137,Tupik,RU,54.4253,119.9327,38.57,95,100,5.21,overcast clouds
138,Kangaatsiaq,GL,68.3065,-53.4641,48.4,43,6,24.49,clear sky
139,Xiaoweizhai,CN,26.1903,107.5125,66.09,91,100,1.9,overcast clouds
140,Muhos,FI,64.808,25.9931,38.98,69,99,9.64,overcast clouds
141,Draguignan,FR,43.5333,6.4667,54.79,92,23,2.55,few clouds
142,Isangel,VU,-19.55,169.2667,77.11,73,40,5.08,scattered clouds
143,Acapulco,MX,16.8634,-99.8901,85.82,62,90,4.45,overcast clouds
144,Forestville,US,38.8451,-76.875,71.42,93,20,8.05,moderate rain
145,Homer,US,59.6425,-151.5483,64.08,55,1,16.11,clear sky
146,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,13.8,light rain
147,Aripuana,BR,-9.1667,-60.6333,74.19,68,9,0.67,clear sky
148,Bredasdorp,ZA,-34.5322,20.0403,51.28,93,100,4.09,overcast clouds
149,Charlestown,AU,-32.95,151.6667,67.01,48,0,3.0,clear sky
150,Vinh,VN,18.6667,105.6667,85.01,76,79,1.74,broken clouds
151,San Matias,BO,-16.3667,-58.4,77.09,60,25,4.27,scattered clouds
152,Praya,CV,14.9215,-23.5087,70.34,83,20,17.27,few clouds
153,Bang Saphan,TH,11.2126,99.5117,84.15,82,100,4.79,overcast clouds
154,Myitkyina,MM,25.3833,97.4,80.91,89,83,1.07,light rain
155,Erzin,TR,36.9559,36.2,68.72,58,0,1.7,clear sky
156,Olinda,BR,-8.0089,-34.8553,76.73,73,75,13.85,broken clouds
157,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,71,0,3.44,clear sky
158,Port Lincoln,AU,-34.7333,135.8667,60.98,63,99,6.85,overcast clouds
159,Phuthaditjhaba,ZA,-28.5242,28.8158,46.2,42,0,3.04,clear sky
160,Rawah,IQ,34.4816,41.9093,81.1,12,0,5.23,clear sky
161,Young,UY,-32.6833,-57.6333,52.09,92,12,7.54,few clouds
162,Avarua,CK,-21.2078,-159.775,80.65,89,20,9.22,light rain
163,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,19,2.21,few clouds
164,Trat,TH,12.5,102.5,85.24,85,93,2.21,overcast clouds
165,Sangar,RU,63.9242,127.4739,59.0,48,29,7.47,scattered clouds
166,Faya,SA,18.3851,42.4509,64.92,37,1,2.04,clear sky
167,Saint-Georges,GD,12.0564,-61.7485,79.61,83,77,11.03,broken clouds
168,Pokhara,NP,28.2333,83.9833,70.43,85,100,3.06,overcast clouds
169,Galle,LK,6.0367,80.217,80.89,82,100,23.24,overcast clouds
170,Ilulissat,GL,69.2167,-51.1,53.62,35,100,26.46,overcast clouds
171,Fereydun Kenar,IR,36.6864,52.5225,66.51,86,81,5.88,broken clouds
172,Tanout,NE,14.9709,8.8879,79.52,11,13,3.11,few clouds
173,Walvis Bay,NA,-22.9575,14.5053,67.15,39,1,6.17,clear sky
174,Marsa Matruh,EG,31.3525,27.2453,68.2,94,0,6.91,clear sky
175,Poli,TZ,-3.3333,36.8,52.93,94,60,2.48,broken clouds
176,Khromtau,KZ,50.2503,58.4347,62.06,54,11,16.89,few clouds
177,Karlskoga,SE,59.3267,14.5239,45.72,95,100,8.79,light rain
178,Fort Nelson,CA,58.8053,-122.7002,53.19,58,90,10.36,overcast clouds
179,Chuy,UY,-33.6971,-53.4616,53.6,82,16,10.6,few clouds
180,Ribeira Grande,PT,38.5167,-28.7,59.54,68,92,13.62,overcast clouds
181,Severo-Kurilsk,RU,50.6789,156.125,38.89,98,100,10.38,overcast clouds
182,Panama City,PA,8.9936,-79.5197,84.06,88,75,1.92,broken clouds
183,Bontang,ID,0.1333,117.5,84.74,70,40,1.05,scattered clouds
184,Naze,JP,28.3667,129.4833,79.72,82,99,25.3,overcast clouds
185,Santa Maria,BR,-29.6842,-53.8069,43.9,100,0,3.15,clear sky
186,Arraial Do Cabo,BR,-22.9661,-42.0278,72.01,82,100,10.76,overcast clouds
187,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,16.4,few clouds
188,Kotido,UG,2.9806,34.1331,66.51,70,90,4.54,overcast clouds
189,Lashio,MM,22.9333,97.75,76.62,78,100,1.77,overcast clouds
190,Sitka,US,57.0531,-135.33,49.89,76,75,11.5,broken clouds
191,Salalah,OM,17.0151,54.0924,80.69,83,20,0.0,few clouds
192,Saint George,US,37.1041,-113.5841,87.64,9,1,1.01,clear sky
193,Tigil,RU,57.8,158.6667,53.26,37,31,1.61,scattered clouds
194,Costinesti,RO,43.95,28.6333,60.71,84,82,4.07,light rain
195,Natchez,US,31.5604,-91.4032,78.24,78,1,4.61,clear sky
